cell_id,lon,lat,x_coord,y_coord
1,6.373766606,50.90971095,315374.0258,5643069.655
2,6.375824715,50.91095148,315523.5978,5643202.426
3,6.377882934,50.91219197,315673.1699,5643335.197
4,6.379941262,50.91343243,315822.7419,5643467.969
5,6.3819997,50.91467285,315972.3139,5643600.74
6,6.384058248,50.91591324,316121.886,5643733.511
7,6.386116905,50.91715359,316271.458,5643866.282
8,6.388175672,50.9183939,316421.0301,5643999.054
9,6.390234549,50.91963419,316570.6021,5644131.825
10,6.392293536,50.92087443,316720.1741,5644264.596
11,6.394352632,50.92211464,316869.7462,5644397.367
12,6.396411837,50.92335482,317019.3182,5644530.139
13,6.398471153,50.92459496,317168.8903,5644662.91
14,6.400530578,50.92583507,317318.4623,5644795.681
15,6.37572871,50.90840977,315506.797,5642920.083
16,6.377786817,50.90965026,315656.3691,5643052.854
17,6.379845033,50.91089071,315805.9411,5643185.625
18,6.381903359,50.91213114,315955.5131,5643318.397
19,6.383961794,50.91337152,316105.0852,5643451.168
20,6.386020339,50.91461187,316254.6572,5643583.939
21,6.388078994,50.91585219,316404.2293,5643716.71
22,6.390137758,50.91709247,316553.8013,5643849.482
23,6.392196632,50.91833272,316703.3734,5643982.253
24,6.394255616,50.91957293,316852.9454,5644115.024
25,6.396314709,50.92081311,317002.5174,5644247.795
26,6.398373912,50.92205325,317152.0895,5644380.567
27,6.400433225,50.92329336,317301.6615,5644513.338
28,6.402492647,50.92453343,317451.2336,5644646.109
29,6.377690705,50.90710854,315639.5683,5642770.511
30,6.379748809,50.908349,315789.1403,5642903.282
31,6.381807023,50.90958942,315938.7123,5643036.053
32,6.383865346,50.91082981,316088.2844,5643168.825
33,6.385923778,50.91207016,316237.8564,5643301.596
34,6.387982321,50.91331048,316387.4285,5643434.367
35,6.390040973,50.91455076,316537.0005,5643567.138
36,6.392099734,50.91579101,316686.5726,5643699.91
37,6.394158606,50.91703122,316836.1446,5643832.681
38,6.396217586,50.9182714,316985.7166,5643965.452
39,6.398276677,50.91951154,317135.2887,5644098.223
40,6.400335877,50.92075165,317284.8607,5644230.995
41,6.402395187,50.92199172,317434.4328,5644363.766
42,6.404454607,50.92323176,317584.0048,5644496.537
43,6.379652591,50.90580728,315772.3395,5642620.939
44,6.381710692,50.90704771,315921.9116,5642753.71
45,6.383768903,50.90828809,316071.4836,5642886.481
46,6.385827223,50.90952845,316221.0556,5643019.253
47,6.387885653,50.91076876,316370.6277,5643152.024
48,6.389944192,50.91200905,316520.1997,5643284.795
49,6.392002842,50.9132493,316669.7718,5643417.566
50,6.394061601,50.91448951,316819.3438,5643550.338
51,6.396120469,50.91572969,316968.9158,5643683.109
52,6.398179447,50.91696983,317118.4879,5643815.88
53,6.400238535,50.91820994,317268.0599,5643948.651
54,6.402297733,50.91945001,317417.632,5644081.423
55,6.40435704,50.92069005,317567.204,5644214.194
56,6.406416457,50.92193005,317716.7761,5644346.965
57,6.381614366,50.90450599,315905.1108,5642471.367
58,6.383672465,50.90574638,316054.6828,5642604.138
59,6.385730673,50.90698673,316204.2548,5642736.909
60,6.387788991,50.90822705,316353.8269,5642869.681
61,6.389847418,50.90946733,316503.3989,5643002.452
62,6.391905955,50.91070758,316652.971,5643135.223
